combination,result,fidelity_clip,fidelity_ref,outside_mad,outside_pct,inside_mad
ensemble,render_shaded,0.8051,0.4644,0.04,0.13,32.49
ensemble,render_flat,0.8148,0.4644,0.21,0.41,49.5
ensemble,lbm_relight_1step,0.7365,0.4644,10.06,35.56,32.58
ensemble,lbm_relight_4step,0.7307,0.4644,9.04,31.21,32.54
sam2.1,render_shaded,0.7778,0.506,0.29,0.89,32.09
sam2.1,render_flat,0.7978,0.506,0.43,1.14,46.22
sam2.1,lbm_relight_1step,0.7474,0.506,9.73,34.53,32.31
sam2.1,lbm_relight_4step,0.7417,0.506,8.93,30.5,32.31
sam2.1_holefill,render_shaded,0.7929,0.5058,0.07,0.18,32.8
sam2.1_holefill,render_flat,0.7981,0.5058,0.18,0.44,46.5
sam2.1_holefill,lbm_relight_1step,0.7126,0.5058,9.67,34.23,33.08
sam2.1_holefill,lbm_relight_4step,0.7029,0.5058,8.86,30.41,33.06
sam3,render_shaded,0.7959,0.4716,0.03,0.05,32.75
sam3,render_flat,0.7929,0.4716,0.17,0.41,46.39
sam3,lbm_relight_1step,0.7453,0.4716,9.68,34.25,32.95
sam3,lbm_relight_4step,0.7455,0.4716,8.74,30.17,32.91
