combination,stage,model,release,load_s,gen_s,gpu_peak_alloc_gb,gpu_peak_reserved_gb,proc_rss_gb,output,floor_pct,wall_pct,plane_residual_cm,resolution
ensemble,segmentation,SegFormer-B5 + UPerNet ConvNeXt-L,2021-05 / 2022-01,3.755,5.01,4.235,5.669,7.464,C:\Users\Aditya Banerjee\Documents\personal\imageEditor\outputs\pipeline_v1\ensemble\mask_floor.png,48.3,16.2,,
sam2.1,segmentation,SAM 2.1 Hiera-L,2024-08,2.137,4.664,1.532,2.238,5.915,C:\Users\Aditya Banerjee\Documents\personal\imageEditor\outputs\pipeline_v1\sam2.1\mask_floor.png,43.9,15.7,,
sam2.1_holefill,segmentation,SAM 2.1 Hiera-L + hole fill,2024-08,2.137,4.686,1.532,2.238,4.884,C:\Users\Aditya Banerjee\Documents\personal\imageEditor\outputs\pipeline_v1\sam2.1_holefill\mask_floor.png,45.8,15.7,,
sam3,segmentation,SAM 3,2025-11,3.405,10.73,5.502,7.495,12.243,C:\Users\Aditya Banerjee\Documents\personal\imageEditor\outputs\pipeline_v1\sam3\mask_floor.png,46.6,15.6,,scores floor=[0.9900000095367432] wall=[0.9549999833106995]
shared,geometry,MoGe-2 ViT-L,2025-07,3.781,3.986,2.854,3.364,9.067,C:\Users\Aditya Banerjee\Documents\personal\imageEditor\outputs\pipeline_v1\geometry.npz,,,,
ensemble,render (plane fit + tiling),plane fit + projection (CPU),-,0.0,0.505,0.226,2.009,7.513,C:\Users\Aditya Banerjee\Documents\personal\imageEditor\outputs\pipeline_v1\ensemble\render_shaded.png,,,0.21,
sam2.1,render (plane fit + tiling),plane fit + projection (CPU),-,0.0,0.558,0.226,2.009,7.512,C:\Users\Aditya Banerjee\Documents\personal\imageEditor\outputs\pipeline_v1\sam2.1\render_shaded.png,,,0.22,
sam2.1_holefill,render (plane fit + tiling),plane fit + projection (CPU),-,0.0,0.472,0.226,2.009,7.513,C:\Users\Aditya Banerjee\Documents\personal\imageEditor\outputs\pipeline_v1\sam2.1_holefill\render_shaded.png,,,0.22,
sam3,render (plane fit + tiling),plane fit + projection (CPU),-,0.0,0.489,0.226,2.009,7.513,C:\Users\Aditya Banerjee\Documents\personal\imageEditor\outputs\pipeline_v1\sam3\render_shaded.png,,,0.21,
ensemble,LBM relight (1 step),LBM_relighting,2025-03,16.525,8.389,7.324,10.226,15.972,C:\Users\Aditya Banerjee\Documents\personal\imageEditor\outputs\pipeline_v1\ensemble\lbm_relight_1step.png,,,,768x1280
ensemble,LBM relight (4 step),LBM_relighting,2025-03,0.0,5.968,7.325,10.226,15.886,C:\Users\Aditya Banerjee\Documents\personal\imageEditor\outputs\pipeline_v1\ensemble\lbm_relight_4step.png,,,,768x1280
sam2.1,LBM relight (1 step),LBM_relighting,2025-03,0.0,3.931,7.324,10.226,15.889,C:\Users\Aditya Banerjee\Documents\personal\imageEditor\outputs\pipeline_v1\sam2.1\lbm_relight_1step.png,,,,768x1280
sam2.1,LBM relight (4 step),LBM_relighting,2025-03,0.0,5.929,7.325,10.226,15.88,C:\Users\Aditya Banerjee\Documents\personal\imageEditor\outputs\pipeline_v1\sam2.1\lbm_relight_4step.png,,,,768x1280
sam2.1_holefill,LBM relight (1 step),LBM_relighting,2025-03,0.0,3.894,7.324,10.226,15.842,C:\Users\Aditya Banerjee\Documents\personal\imageEditor\outputs\pipeline_v1\sam2.1_holefill\lbm_relight_1step.png,,,,768x1280
sam2.1_holefill,LBM relight (4 step),LBM_relighting,2025-03,0.0,5.948,7.325,10.226,15.795,C:\Users\Aditya Banerjee\Documents\personal\imageEditor\outputs\pipeline_v1\sam2.1_holefill\lbm_relight_4step.png,,,,768x1280
sam3,LBM relight (1 step),LBM_relighting,2025-03,0.0,3.932,7.324,10.226,15.8,C:\Users\Aditya Banerjee\Documents\personal\imageEditor\outputs\pipeline_v1\sam3\lbm_relight_1step.png,,,,768x1280
sam3,LBM relight (4 step),LBM_relighting,2025-03,0.0,5.98,7.325,10.226,15.795,C:\Users\Aditya Banerjee\Documents\personal\imageEditor\outputs\pipeline_v1\sam3\lbm_relight_4step.png,,,,768x1280
