run_id,model,repo,release_date,release_year,task,device,precision,resolution,steps,load_time_s,gen_time_s,total_time_s,output,notes,timestamp
SAM3/floor,SAM3,facebookresearch/sam3,2025-11,2025,segment 'floor',Intel(R) Arc(TM) 140T GPU (16GB),fp32,900x1600,1,3.52,10.99,14.5,outputs\SAM3\mask_floor.png,1 instances; scores=[0.9900000095367432],2026-09-17T18:04:35
SAM3/wall,SAM3,facebookresearch/sam3,2025-11,2025,segment 'wall',Intel(R) Arc(TM) 140T GPU (16GB),fp32,900x1600,1,0.0,4.45,4.45,outputs\SAM3\mask_wall.png,1 instances; scores=[0.9549999833106995],2026-09-17T18:04:40
SAM3/bed,SAM3,facebookresearch/sam3,2025-11,2025,segment 'bed',Intel(R) Arc(TM) 140T GPU (16GB),fp32,900x1600,1,0.0,3.52,3.52,outputs\SAM3\mask_bed.png,"2 instances; scores=[0.7929999828338623, 0.5460000038146973]",2026-09-17T18:04:43
SAM3/chair,SAM3,facebookresearch/sam3,2025-11,2025,segment 'chair',Intel(R) Arc(TM) 140T GPU (16GB),fp32,900x1600,1,0.0,3.5,3.5,outputs\SAM3\mask_chair.png,1 instances; scores=[0.972000002861023],2026-09-17T18:04:47
MoGe-2,MoGe-2,microsoft/MoGe,2025-07,2025,depth+normal+points,Intel(R) Arc(TM) 140T GPU (16GB),fp32,900x1600,3 refine,2.69,6.17,8.86,outputs\MoGe-2\depth.png,metric depth range 0.85-2.66 m; fx=989px fy=989px; normals=yes,2026-09-17T18:06:07
MatSwap,MatSwap,astra-vision/MatSwap,2025-02,2025,material swap on floor,Intel(R) Arc(TM) 140T GPU (16GB),float32,512x904,50,20.11,149.0,169.1,outputs\MatSwap\matswap_512.png,guidance=3.0; RGB->X AOV stage 130.2s (2x50 steps) not included in gen time,2026-09-17T18:29:57
LBM/renderA_shaded/1step,LBM,gojasper/LBM,2025-03,2025,relight/harmonise renderA_shaded,Intel(R) Arc(TM) 140T GPU (16GB),bf16,768x1280,1,175.94,14.41,190.35,outputs\LBM\lbm_renderA_shaded_1step.png,input = geometric composite (variant A); LBM_relighting checkpoint,2026-09-17T18:35:35
LBM/renderA_shaded/4step,LBM,gojasper/LBM,2025-03,2025,relight/harmonise renderA_shaded,Intel(R) Arc(TM) 140T GPU (16GB),bf16,768x1280,4,0.0,7.54,7.54,outputs\LBM\lbm_renderA_shaded_4step.png,input = geometric composite (variant A); LBM_relighting checkpoint,2026-09-17T18:35:42
LBM/renderA_flat/1step,LBM,gojasper/LBM,2025-03,2025,relight/harmonise renderA_flat,Intel(R) Arc(TM) 140T GPU (16GB),bf16,768x1280,1,0.0,4.84,4.84,outputs\LBM\lbm_renderA_flat_1step.png,input = geometric composite (variant A); LBM_relighting checkpoint,2026-09-17T18:35:48
LBM/renderA_flat/4step,LBM,gojasper/LBM,2025-03,2025,relight/harmonise renderA_flat,Intel(R) Arc(TM) 140T GPU (16GB),bf16,768x1280,4,0.0,7.02,7.02,outputs\LBM\lbm_renderA_flat_4step.png,input = geometric composite (variant A); LBM_relighting checkpoint,2026-09-17T18:35:55
