run_id,model,repo,release_date,release_year,task,device,precision,resolution,steps,load_time_s,gen_time_s,total_time_s,output,notes,timestamp
Mask2Former,Mask2Former,facebookresearch/Mask2Former (ADE20K Swin-L semantic),2021-12,2021,floor segmentation (ADE20K semantic),Intel(R) Arc(TM) 140T GPU (16GB),fp32,900x1600,1,1.27,5.48,6.74,outputs\Mask2Former\mask_floor.png,"floor classes ['floor', 'rug']; coverage 48.0%",2026-09-17T23:31:20
MoGe-2,MoGe-2,microsoft/MoGe,2025-07,2025,depth+normal+points,Intel(R) Arc(TM) 140T GPU (16GB),fp32,900x1600,3 refine,3.11,5.2,8.31,outputs\MoGe-2\depth.png,metric depth range 0.85-2.66 m; fx=989px fy=989px; normals=yes,2026-09-17T23:31:46
MatSwap,MatSwap,astra-vision/MatSwap,2025-02,2025,material swap on floor,Intel(R) Arc(TM) 140T GPU (16GB),float32,512x904,50,29.65,152.11,181.76,outputs\MatSwap\matswap_512.png,guidance=3.0; RGB->X AOV stage 126.8s (2x50 steps) not included in gen time,2026-09-17T23:37:14
ControlTile,ControlTile,junrongh/ControlTile,2026-06,2026,tile texture into floor mask,Intel(R) Arc(TM) 140T GPU (16GB),GGUF Q6_K + bf16 compute + bf16 LoRA,640x1136 (+512px texture),50,60.61,866.93,927.54,outputs\ControlTile\controltile_result.png,texture cond 512px; tile=0.6m via plane-projected control points; guidance 30 (repo default); gen time includes VAE enc/dec,2026-09-17T23:57:14
LBM/relight/renderA_shaded/1step,LBM,gojasper/LBM,2025-03,2025,relighting: renderA_shaded,Intel(R) Arc(TM) 140T GPU (16GB),bf16,768x1280,1,47.75,17.43,65.19,outputs\LBM\lbm_relight_renderA_shaded_1step.png,jasperai/LBM_relighting on the geometric marble composite,2026-09-17T23:59:46
LBM/relight/renderA_shaded/4step,LBM,gojasper/LBM,2025-03,2025,relighting: renderA_shaded,Intel(R) Arc(TM) 140T GPU (16GB),bf16,768x1280,4,0.0,7.95,7.95,outputs\LBM\lbm_relight_renderA_shaded_4step.png,jasperai/LBM_relighting on the geometric marble composite,2026-09-17T23:59:54
LBM/relight/renderA_flat/1step,LBM,gojasper/LBM,2025-03,2025,relighting: renderA_flat,Intel(R) Arc(TM) 140T GPU (16GB),bf16,768x1280,1,0.0,5.01,5.01,outputs\LBM\lbm_relight_renderA_flat_1step.png,jasperai/LBM_relighting on the geometric marble composite,2026-09-17T23:59:59
LBM/relight/renderA_flat/4step,LBM,gojasper/LBM,2025-03,2025,relighting: renderA_flat,Intel(R) Arc(TM) 140T GPU (16GB),bf16,768x1280,4,0.0,6.97,6.97,outputs\LBM\lbm_relight_renderA_flat_4step.png,jasperai/LBM_relighting on the geometric marble composite,2026-09-18T00:00:07
LBM/normals/scene,LBM,gojasper/LBM,2025-03,2025,normals: scene,Intel(R) Arc(TM) 140T GPU (16GB),bf16,768x1280,1,26.26,5.34,31.6,outputs\LBM\lbm_normals_scene_1step.png,jasperai/LBM_normals on input/scene.jpeg,2026-09-18T00:00:40
ControlTile_mtl1024_tile1m,ControlTile,junrongh/ControlTile,2026-06,2026,tile texture into floor mask,Intel(R) Arc(TM) 140T GPU (16GB),GGUF Q6_K + bf16 compute + bf16 LoRA,640x1136 (+1024px texture),50,57.3,1497.11,1554.41,outputs\ControlTile\controltile_mtl1024_tile1m_result.png,tile=1.0m via plane-projected control points; guidance 30 (repo default); gen time includes VAE enc/dec,2026-09-18T00:28:15
SegFormer+UPerNet,SegFormer+UPerNet,"NVlabs/SegFormer-B5 + openmmlab/UPerNet-ConvNeXt-L (ADE20K), mean-softmax ensemble",2021-05 / 2022-01,2021,floor+wall segmentation (ADE20K ensemble),Intel(R) Arc(TM) 140T GPU (16GB),fp32,900x1600 (inference 576x1024),1,1.27,3.8,5.07,outputs\SegFormer+UPerNet\mask_floor.png,"floor ['floor', 'rug'] 48.3%; wall 16.2%",2026-09-18T11:32:19
SAM2.1,SAM2.1,facebookresearch/sam2 (SAM 2.1 Hiera-L),2024-08,2024,floor+wall segmentation (point prompts),Intel(R) Arc(TM) 140T GPU (16GB),fp32,900x1600,1,2.51,14.87,17.38,outputs\SAM2.1\mask_floor.png,8 pos / 8 neg points from ensemble masks; floor IoU 0.917 bF 0.026; wall IoU 0.984 bF 0.755,2026-09-18T11:44:19
