model,load_s,gen_s,floor_iou,floor_prec,floor_rec,floor_bF,wall_iou,wall_prec,wall_rec,wall_bF,floor_pct,wall_pct
"SegFormer-B5 (ADE, 2021)",51.4,5.5,0.9844,0.9866,0.9978,0.6721,0.9903,0.9909,0.9994,0.9472,48.4,16.1
"SegFormer-B5 (ADE, 2021) +flipTTA",51.4,1.34,0.985,0.9875,0.9974,0.6623,0.9877,0.9886,0.9991,0.9045,48.3,16.2
"UPerNet ConvNeXt-L (ADE, 2022)",0.7,1.69,0.9865,0.9908,0.9956,0.7343,0.9558,0.957,0.9987,0.6502,48.1,16.7
"UPerNet ConvNeXt-L (ADE, 2022) +flipTTA",0.7,0.88,0.9866,0.991,0.9955,0.7331,0.9631,0.9643,0.9986,0.632,48.1,16.6
"Mask2Former Swin-L semantic (ADE, 2021)",2.3,4.3,0.98,0.9894,0.9904,0.5466,0.9769,0.9797,0.9971,0.4979,47.9,16.3
"Mask2Former Swin-L semantic (ADE, 2021) +flipTTA",2.3,1.08,0.9795,0.9889,0.9904,0.5045,0.9764,0.9788,0.9975,0.4458,47.9,16.3
"Mask2Former Swin-L panoptic (ADE, 2021)",0.8,1.32,0.981,0.9909,0.9899,0.5336,0.9875,0.9923,0.9952,0.8589,47.8,16.0
"Mask2Former Swin-L panoptic (ADE, 2021) +flipTTA",0.8,0.69,0.9827,0.9911,0.9914,0.5703,0.9676,0.9716,0.9958,0.6999,47.9,16.4
"OneFormer Swin-L (ADE, 2022)",2.2,3.54,0.9825,0.9871,0.9952,0.4111,0.9887,0.9952,0.9935,0.9233,48.3,16.0
"OneFormer Swin-L (ADE, 2022) +flipTTA",2.2,2.54,0.9823,0.9868,0.9954,0.4168,0.9841,0.99,0.994,0.9026,48.3,16.0
SAM2.1 Hiera-L point-prompted (2024),2.5,14.87,0.9166,1.0,0.9167,0.0263,0.9842,0.9997,0.9845,0.7551,43.9,15.7
SAM2.1 Hiera-L point-prompted +holefill (2024),2.5,14.87,0.9564,1.0,0.9564,0.0835,0.9845,0.9997,0.9848,0.7772,45.8,15.7
